epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,8414.55,0.03715,0.04773,0.85282,0.99999,1,0.995,0.995,0.1627,0.25101,0.42139,0.000482,0.000482,0.000482
25,8752.59,0.03553,0.04589,0.85183,0.99999,1,0.995,0.995,0.18388,0.21786,0.45028,0.000416,0.000416,0.000416
26,9099.63,0.03431,0.04305,0.8517,0.99968,1,0.995,0.995,0.22228,0.12738,0.49928,0.00035,0.00035,0.00035
27,9450.34,0.03233,0.04225,0.85113,0.99999,1,0.995,0.995,0.21581,0.12273,0.48788,0.000284,0.000284,0.000284
28,9799.19,0.02688,0.03677,0.85007,1,1,0.995,0.995,0.2195,0.1244,0.49982,0.000218,0.000218,0.000218
29,10148.5,0.02408,0.0339,0.84936,0.99999,1,0.995,0.995,0.2109,0.12285,0.48627,0.000152,0.000152,0.000152
30,10496.5,0.02081,0.03008,0.84757,0.99999,1,0.995,0.995,0.212,0.12455,0.48942,8.6e-05,8.6e-05,8.6e-05
1,11.3965,2.28274,3.28389,1.97637,0.37403,0.47273,0.32106,0.12543,1.85937,3.81904,1.88179,0.000649123,0.000649123,0.000649123
2,21.5227,1.79399,2.10752,1.518,0.10026,0.41818,0.09006,0.04725,1.65089,7.45429,1.59368,0.00130276,0.00130276,0.00130276
3,30.7163,1.70391,2.02061,1.483,0.27832,0.3697,0.23444,0.13262,1.75624,3.40919,1.53612,0.0019432,0.0019432,0.0019432
4,39.9288,1.61067,1.87182,1.41485,0.5007,0.53939,0.43099,0.2341,1.88102,2.90464,1.67192,0.0019406,0.0019406,0.0019406
5,49.2609,1.55872,1.74613,1.36938,0.41331,0.38788,0.3006,0.14095,2.11194,2.70391,1.89126,0.0019208,0.0019208,0.0019208
6,58.2014,1.50342,1.73102,1.31687,0.58757,0.60606,0.48125,0.30967,1.34184,1.68375,1.12252,0.001901,0.001901,0.001901
7,67.2947,1.42426,1.68595,1.345,0.57199,0.55758,0.47911,0.24026,1.41671,2.3264,1.19695,0.0018812,0.0018812,0.0018812
8,76.5471,1.41151,1.67633,1.29831,0.63397,0.59394,0.52873,0.28681,1.41781,1.65954,1.14572,0.0018614,0.0018614,0.0018614
9,85.7797,1.43634,1.60353,1.29017,0.35579,0.4303,0.29801,0.06194,2.25754,2.273,1.47208,0.0018416,0.0018416,0.0018416
10,94.8226,1.39874,1.59153,1.26861,0.65252,0.54545,0.51554,0.30673,1.40808,1.69798,1.16671,0.0018218,0.0018218,0.0018218
11,103.889,1.31589,1.56616,1.24268,0.61894,0.64242,0.5604,0.39035,1.23511,1.6612,1.04935,0.001802,0.001802,0.001802
12,112.745,1.31401,1.57658,1.24491,0.68177,0.67273,0.59404,0.35837,1.29125,1.55032,1.04967,0.0017822,0.0017822,0.0017822
13,121.879,1.21786,1.43102,1.22831,0.66726,0.65629,0.62251,0.38144,1.341,1.49041,1.11854,0.0017624,0.0017624,0.0017624
14,131.295,1.26793,1.43429,1.20236,0.69333,0.65771,0.58855,0.36186,1.2595,1.47012,0.9716,0.0017426,0.0017426,0.0017426
15,140.783,1.24462,1.42921,1.19831,0.69146,0.63636,0.59355,0.38628,1.22605,1.54092,0.95233,0.0017228,0.0017228,0.0017228
16,150.142,1.21748,1.4211,1.17425,0.65024,0.67605,0.58795,0.39916,1.18363,1.55095,1.00616,0.001703,0.001703,0.001703
17,161.933,1.17037,1.39262,1.17396,0.6709,0.69697,0.65562,0.4655,1.13692,1.42472,0.97101,0.0016832,0.0016832,0.0016832
